frame_id,timestamp,numFrame,x,y,z,doppler,SNR,Range,Azimuth,Elevation
20250718114959698239,2025-07-18 11:49:59.698239,1,-2.1843941954220827,4.13870216962862,1.234407101504544,-0.0697200018621515,10.639999762177467,4.839854805893167,117.82495352328117,14.77657402297215
20250718114959698239,2025-07-18 11:49:59.698239,2,-2.128057291945817,4.235843141845231,1.2129581994252543,-0.0697200018621515,16.8799996227026,4.893083133738277,116.67462615402094,14.3528311931914
20250718114959698239,2025-07-18 11:49:59.698239,3,-2.1070504315014604,4.339093196857868,1.340528082714448,-0.0697200018621515,12.11999972909689,5.006436540340324,115.90106829731944,15.53107222621967
20250718114959752841,2025-07-18 11:49:59.752841,1,-2.319976327625666,4.240313206966658,1.4171207263269163,-0.0697200018621515,8.759999804198742,5.03694127491126,118.68411924927946,16.340524354462413
20250718114959752841,2025-07-18 11:49:59.752841,2,-2.2262425697470563,4.117400252779205,1.24011493292158,-0.0697200018621515,13.119999706745148,4.842212910209064,118.39970451529337,14.839071397858024
20250718114959752841,2025-07-18 11:49:59.752841,3,-2.2559367583882417,4.172319182764081,1.2299793929610758,-0.0697200018621515,16.99999962002039,4.9000354414858345,118.39970451529337,14.537546496696653
20250718114959807838,2025-07-18 11:49:59.807838,1,-2.2149715052152463,4.184168798021218,1.1771619498812949,0.0697200018621515,5.999999865889549,4.878429824799999,117.89538125909196,13.963241787243096
20250718114959807838,2025-07-18 11:49:59.807838,2,-2.203884819328575,4.22860764101251,1.0181325837463229,-0.0697200018621515,5.879999868571758,4.875943481684575,117.527828003956,12.052466023282786
20250718114959807838,2025-07-18 11:49:59.807838,3,0.1213813725412221,0.172369084319468,2.13987303975894,2.017960053897696,5.639999873936176,2.150232816491342,54.8470015208024,84.37341857652902
20250718114959863376,2025-07-18 11:49:59.863376,1,-1.9803201087267024,4.371517758968897,1.181184238311691,0.1391600037168245,5.519999876618385,4.9423710357321164,114.37077176236645,13.827020407699855
20250718114959863376,2025-07-18 11:49:59.863376,2,-1.96102725983168,4.447470784616917,1.165412629404729,-0.0697200018621515,6.8799998462200165,4.9983808268878445,113.79416429075047,13.48306981405142
20250718114959863376,2025-07-18 11:49:59.863376,3,0.1720106468497873,0.0860090709538911,1.8356108788134229,-3.687880098499592,4.999999888241291,1.845657747615798,26.566049793049267,84.01898880842164
20250718114959918030,2025-07-18 11:49:59.918030,1,-2.2262425697470563,4.117400252779205,1.24011493292158,0.0697200018621515,5.639999873936176,4.842212910209064,118.39970451529337,14.839071397858024
20250718114959918030,2025-07-18 11:49:59.918030,2,-2.128057291945817,4.235843141845231,1.2129581994252543,0.0697200018621515,7.999999821186066,4.893083133738277,116.67462615402094,14.3528311931914
20250718114959918030,2025-07-18 11:49:59.918030,3,-2.06860788375203,4.332406814969101,1.1916639841716554,-0.0697200018621515,5.879999868571758,4.946609994560277,115.52322210006498,13.93997112084511
20250718114959972975,2025-07-18 11:49:59.972975,1,-1.9931609783562136,4.32206297897671,1.3385541019175988,-0.0697200018621515,6.519999854266644,4.944152724546782,114.75724438451934,15.707995232040991
20250718114959972975,2025-07-18 11:49:59.972975,2,-1.9752641784654068,4.398245828741606,1.324678182771025,-0.0697200018621515,11.759999737143517,5.000100722253613,114.18497821669634,15.362811235789255
20250718114959972975,2025-07-18 11:49:59.972975,3,-1.9560205858992603,4.474497180664382,1.3107839085265676,-0.0697200018621515,9.519999787211418,5.056213603783702,113.61248079631272,15.02510138499254
20250718115000027675,2025-07-18 11:50:00.027675,1,-1.9803201087267024,4.371517758968897,1.181184238311691,-0.0697200018621515,9.759999781847,4.9423710357321164,114.37077176236645,13.827020407699855
20250718115000027675,2025-07-18 11:50:00.027675,2,-1.9560205858992603,4.474497180664382,1.3107839085265676,-0.0697200018621515,9.239999793469906,5.056213603783702,113.61248079631272,15.02510138499254
20250718115000027675,2025-07-18 11:50:00.027675,3,0.0886137340192066,0.1602288780349896,2.174594727490124,2.7832000743364915,5.759999871253967,2.182289604072068,61.05544430280642,85.18706537678284
20250718115000083413,2025-07-18 11:50:00.083413,1,-2.28303160621319,3.9787649615381873,1.079185302097772,0.0697200018621515,5.519999876618385,4.712477570280437,119.84738016054052,13.2385536835265
20250718115000083413,2025-07-18 11:50:00.083413,2,-2.2724129961225903,4.054702516630537,1.0608020374850908,0.0697200018621515,7.639999829232693,4.767575304706721,119.26796618112772,12.856116376400452
20250718115000083413,2025-07-18 11:50:00.083413,3,-2.128057291945817,4.235843141845231,1.2129581994252543,0.0697200018621515,6.999999843537808,4.893083133738277,116.67462615402094,14.3528311931914
20250718115000083413,2025-07-18 11:50:00.083413,4,-1.9731835743676105,4.4062766875833095,1.3726509457226266,-0.0697200018621515,5.119999885559082,5.019252761565959,114.12340787167206,15.871282849533443
20250718115000138005,2025-07-18 11:50:00.138005,1,-2.04173318956546,4.2761215667310815,1.202165628004693,-0.0697200018621515,9.239999793469906,4.888669785124757,115.52322210006498,14.23553170693375
20250718115000138005,2025-07-18 11:50:00.138005,2,-1.9803201087267024,4.371517758968897,1.181184238311691,-0.0697200018621515,13.759999692440031,4.9423710357321164,114.37077176236645,13.827020407699855
20250718115000138005,2025-07-18 11:50:00.138005,3,-1.96102725983168,4.447470784616917,1.165412629404729,-0.0697200018621515,11.639999739825726,4.9983808268878445,113.79416429075047,13.48306981405142
20250718115000138005,2025-07-18 11:50:00.138005,4,-1.986177556214172,4.504509873607036,1.1547089945509448,-0.0697200018621515,4.999999888241291,5.056566359529857,113.79416429075047,13.20043838162947
