eps,min_samples,valid_frame_rate,mean_noise_ratio,mean_silhouette,std_silhouette,mean_db_index,mean_largest_ratio,n_frames_evaluated,n_valid_frames
0.2,2,1.0,0.0162155754492778,0.6519846762811318,0.13670402796623773,0.6125317964831756,0.842184084077423,500,500
0.2,3,1.0,0.02842408618024605,0.6514965859067176,0.13332707475448188,0.7037345073498569,0.842184084077423,500,500
0.2,4,0.996,0.047012936890194666,0.6423121583176735,0.13045198590965312,0.698850383421912,0.8429688087999327,500,498
0.2,5,0.99,0.057834981917852704,0.6338366276423516,0.13863781669748818,0.7475395921277957,0.8429267396671445,500,495
0.2,6,0.986,0.06583679446029012,0.6252275481389579,0.12982732250391127,0.7898845135967694,0.8431784656584642,500,493
0.2,7,0.98,0.0730941510312305,0.6208520206282464,0.12630836211749924,0.811356307664315,0.8430642331573457,500,490
0.2,8,0.974,0.08300306752943831,0.6181584731261892,0.126539567805849,0.8554029341431498,0.8427685832015281,500,487
0.2,9,0.974,0.08681650246066937,0.6150312035025183,0.12390017063407247,0.8476879669550765,0.8417871443820769,500,487
0.3,2,1.0,0.011288731742861128,0.7095237000870728,0.1346704158502748,0.501944499823361,0.8878163374036396,500,500
0.3,3,1.0,0.019996464746694094,0.7115407030976195,0.13450806494535056,0.5937682127468566,0.8878163374036396,500,500
0.3,4,1.0,0.032077597195888166,0.7041323775106827,0.12994486629460153,0.5879627268238203,0.8869098797828713,500,500
0.3,5,0.998,0.03949743922707901,0.6993043230182547,0.12429721190223247,0.6172828358950712,0.8866801758299343,500,499
0.3,6,0.998,0.044745518365377615,0.6911985652187927,0.12397206930226827,0.6339776329805783,0.8847995078881117,500,499
0.3,7,0.986,0.05515941725925369,0.6818390596297765,0.13013083561992578,0.7244586557230241,0.8877799013737144,500,493
0.3,8,0.982,0.0611854241150276,0.6786658558548555,0.12803579737252493,0.7319799895594673,0.8884670967012627,500,491
0.3,9,0.976,0.06765350893235335,0.6779519083416634,0.12661302092487908,0.7038832362410479,0.889152916212461,500,488
0.4,2,1.0,0.008664393030876322,0.7656074826584355,0.12516142476563052,0.48070298579486104,0.9267161145087685,500,500
0.4,3,1.0,0.01557213043234461,0.7761248446737281,0.11369639235025258,0.5936001345194013,0.9267161145087685,500,500
0.4,4,1.0,0.023960927564657602,0.7676673441695816,0.1158821950846291,0.5426081801614078,0.9263494478421016,500,500
0.4,5,0.998,0.03105150584579573,0.7657651105255256,0.11331915829753786,0.4736048369067981,0.9268896789970911,500,499
0.4,6,0.998,0.0340826382181665,0.7624944851323396,0.11154660757442517,0.49679842554020875,0.9261493201329926,500,499
0.4,7,0.994,0.03911598152173795,0.7590742537745079,0.11746287331005494,0.5332691857796579,0.92718029927842,500,497
0.4,8,0.988,0.046740762945262464,0.7556411318589481,0.11512117449442295,0.5543395145523949,0.9277566570289404,500,494
0.4,9,0.982,0.0526113731710892,0.7513308117576445,0.11847197106885615,0.5305979906203437,0.9278739059801445,500,491
0.5,2,1.0,0.007643008975357058,0.8101880720232261,0.1022524311117363,0.3628305113098346,0.943940061295297,500,500
0.5,3,1.0,0.013738950934294973,0.8167098623334663,0.09131977459963578,0.46044068591881443,0.943940061295297,500,500
0.5,4,1.0,0.019778351679832742,0.8098216969729836,0.08843122522635176,0.48486002398072975,0.943940061295297,500,500
0.5,5,1.0,0.024439964103724957,0.8069067676912947,0.08827849772000815,0.4535185223282977,0.9435570662511255,500,500
0.5,6,0.998,0.02865455600022475,0.8040749854390183,0.08932031856289262,0.46884754647833554,0.9437429725258475,500,499
0.5,7,0.996,0.03195215201918657,0.8042834322762378,0.09754819384155416,0.5191705034184312,0.9444949381950479,500,498
0.5,8,0.996,0.03410311998959827,0.8048628039534158,0.09602587272273964,0.5401411795037542,0.9444949381950479,500,498
0.5,9,0.994,0.03734800779100781,0.8010043416778342,0.10346979565130335,0.508534260956079,0.9441573968947825,500,497
0.6,2,1.0,0.007001212126690604,0.8361398811825349,0.09014753028949957,0.29529879281295995,0.9514642227017189,500,500
0.6,3,1.0,0.012697021399440624,0.8417730488972022,0.07581526042948804,0.36181303051861435,0.9514642227017189,500,500
0.6,4,1.0,0.017896976700006093,0.8303458786444938,0.0810268177677297,0.3682648850701519,0.9514166036540999,500,500
0.6,5,1.0,0.02152691178163273,0.822984504097971,0.08097509656346465,0.39370384983160556,0.9511246798915879,500,500
0.6,6,1.0,0.02453422818681473,0.8205385908870237,0.08332281887452057,0.4248458126349955,0.9503601054423056,500,500
